XP n°,Substrate,Organism,Enzyme,Yield,Unit,Incubation time (hrs),Pretreatment,Nutritive or inducing supplement,Enhancement or optimization method,Parameters,Notes,Date of publication,Reference,yield_value,incubation_hours,experiment_id,publication_year,reference_id
157,wheat bran,Lichtheimia ramosa,xylanase,28.5,U/gds,96,"Washed, dried (24h ; 60°C) autoclaved (20mn ; 121°C).","Nutrient solution used as inoculum (w/v): 0,1% (NH4)2SO4 ; 0,1% MgSO4.7H2O ; 0,1% NH4NO3.",OFAT,pH=5 ; MC=65% ; Inoculum (5mL) ; T°=35°C.,"The objective of this study was to optimize β-glucosidase production. Other substrates such as corn cob, corn straw and rice peel were tested (before optimisation) but they resulted in at least 46-fold lower β-glucosidase activities.",2015,54,28.5,96.0,157,2015,54
159,rice straw,Schizophyllum commune ARC-11,xylanase,10196.53,U/gds,192,"Washed, dried, ground (250-1400µm), autoclaved (30mn ; 121°C).","0,08% (available N) (NH4)2SO4 ; 0,1% (w/v) Tween 20.",OFAT,pH=7 ; MC=70% ; Inoculum (5 fungal discs ; T°=30°C.,"The authors also indicated the presence of cellulase in very small amounts. In unoptimized experiments, maize bran, wheat straw and wheat bran were identified as other interesting carbon sources, with productions between 83,6 and 92,3% of the xylanase production from rice straw.",2018,56,10196.53,192.0,159,2018,56
188,mixture (wheat bran ; rice straw),Co-culture (Penicillium oxalicum 16 ; Trichoderma reesei RUT-C30),xylanase,352.9,U/gds,168,"Rice straw: milled (20mm), dried (48h ; 40°C). Wheat bran: NA.","Salt solution added to reach predefined MC (g/L): 1,5 (NH4)2SO4 ; 1,5 KH2PO4 ; 0,3 CaCl2 ; 0,3 MgSO4 ; 1,0 urea ; 0,005 FeSO4.7H2O ; 0,0016 MnSO4.H2O ; 0,0014 ZnSO4.7H2O ; 0,002 CoCl2. Inducer: 0,168g/gs microcrystalline cellulose. Nitrogen source: 0,06g/gs peanut cake powder.",RSM (Plackett–Burman design + Central Composite design),"pH=5 ; MC=70% ; Inoculum (T reesei at 0h, then P oxalicum at 48h) ; T°=28±2°C.","Substrate proportions (w/w): 4WB:1RS. This experiment was optimised for FPase production, as it was considered to be representative of the production of the complete hydrolase system.",2019,64,352.9,168.0,188,2019,64
201,wheat bran,Trichoderma reesei RUT C-30,xylanase,2467.53,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,2467.53,96.0,201,2011,69
202,wheat bran,Aspergillus niger BC-1,xylanase,2604.06,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,2604.06,96.0,202,2011,69
203,wheat bran,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2710.62,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,2710.62,120.0,203,2011,69
204,rice straw,Trichoderma reesei RUT C-30,xylanase,1298.7,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,1298.7,96.0,204,2011,69
205,rice straw,Aspergillus niger BC-1,xylanase,936.06,U/gds,96,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,936.06,96.0,205,2011,69
206,rice straw,Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2144.52,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",None,Inoculum (1E7 spores/gds) ; RH=95% ; T°=30±1°C.,,2011,69,2144.52,120.0,206,2011,69
207,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2757.2,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 4RS:1WB.,2011,69,2757.2,120.0,207,2011,69
208,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,2859.6,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm. T°=30±1°C.,Substrate ratio: 3RS:2WB.,2011,69,2859.6,120.0,208,2011,69
209,mixture (rice straw ; wheat bran),Co-culture (Trichoderma reesei RUT C-30 ; Aspergillus niger BC-1),xylanase,3106.34,U/gds,120,"Dried, milled (≈1mm), autoclaved (30mn ; 121°C).","for 10gds, 30mL of Mendel-Weber medium.",OFAT for substrates ; none for parameters.,Inoculum (5E6 spores/gds each) ; RH=95% ; medium bed thickness=3-4cm ; laminar air flow ; T°=30±1°C.,The experiment was realised in plastic trays (L.40*l.25*H.8 cm). It is an upscaling of xp 208. Substrate ratio: 3RS:2WB. Authors state that further optimisation of the nutritive medium and key parameters (especially aeration for heat control) should be realised in up-scaled experiments.,2011,69,3106.34,120.0,209,2011,69
